Document Name, Last modified, Link (if applicable)
Form 4098.pdf,06/14/2023,https://multifamily.fanniemae.com/media/7591/display
Affordable Housing Data Guidance Job Aid_April 2023.pdf,06/14/2023,https://multifamily.fanniemae.com/media/7331/display
Multifamily Master Trust Agreement 2021.pdf,06/14/2023,https://capitalmarkets.fanniemae.com/media/document/pdf/2021-multifamily-master-trust-agreement
Multifamily MBS Roadmap.pdf,06/14/2023,https://multifamily.fanniemae.com/media/7561/display
mf-prospectus-april-1-2023-adjustable-rate-mortgages-arms.pdf,06/14/2023,https://capitalmarkets.fanniemae.com/media/document/pdf/april-1-2023-mf-prospectus-adjustable-rate-mortgages-arms.pdf
mf-prospectus-april-1-2023-fixed-rate-declining-premium.pdf,06/14/2023,https://capitalmarkets.fanniemae.com/media/document/pdf/april-1-2023-mf-prospectus-fixed-rate-declining-premium.pdf
mf-prospectus-april-1-2023-fixed-rate-defeasance.pdf,06/14/2023,https://capitalmarkets.fanniemae.com/media/document/pdf/april-1-2023-mf-prospectus-fixed-rate-defeasance.pdf
mf-prospectus-april-1-2023-fixed-rate-yield-maintenance.pdf,06/14/2023,https://capitalmarkets.fanniemae.com/media/document/pdf/april-1-2023-mf-prospectus-fixed-rate-yield-maintenance.pdf
mf-prospectus-april-1-2023-structured-arm-sarm.pdf,06/14/2023,https://capitalmarkets.fanniemae.com/media/document/pdf/april-1-2023-mf-prospectus-structured-arm-sarm.pdf
cd-data-guidance-for-cross-collateralized-cross-defaulted-mortgage-loans,06/22/2023,https://multifamily.fanniemae.com/media/7586/display
Job Aid Guidance for Entering Property Addresses in Acquisition Systems,06/22/2023,https://multifamily.fanniemae.com/media/7311/display
Excel Chart_Affordable Housing Data Guidance_Acquisition Systems_3.2023_0,06/22/2023,https://multifamily.fanniemae.com/media/16001/display
mf-prospectus-april-1-2023-hybrid-declining-premium,06/22/2023,https://capitalmarkets.fanniemae.com/mortgage-backed-securities/multifamily-mbs/mbs-prospectuses-multifamily
mf-prospectus-april-1-2023-hybrid-yield-maintenance,06/22/2023,https://capitalmarkets.fanniemae.com/mortgage-backed-securities/multifamily-mbs/mbs-prospectuses-multifamily
mf-prospectusapril-1-2023--bulk-delivery-sarm,06/22/2023,https://capitalmarkets.fanniemae.com/mortgage-backed-securities/multifamily-mbs/mbs-prospectuses-multifamily
mf-prospectus-april-1-2023-bulk-delivery-fixed-rate-yield-maintenance_0,06/22/2023,https://capitalmarkets.fanniemae.com/mortgage-backed-securities/multifamily-mbs/mbs-prospectuses-multifamily
mf-prospectus-april-1-2023-credit-facility-sarm,06/22/2023,https://capitalmarkets.fanniemae.com/mortgage-backed-securities/multifamily-mbs/mbs-prospectuses-multifamily
mf-prospectus-april-1-2023-credit-facility-fixed-rate-yield-maintenance,06/22/2023,https://capitalmarkets.fanniemae.com/mortgage-backed-securities/multifamily-mbs/mbs-prospectuses-multifamily
Crossing Job Aid - 2023-08-10, 08/10/2023,https://multifamily.fanniemae.com/media/7586/display
Affordable Data Guidance for Acquisition Systems - 2023-08-10,08/10/2023,https://multifamily.fanniemae.com/media/16001/display
